,Reviews,Date,Names,Tittles
150,"
This site has been too difficult to use. I can rate it, but I'm unable to successfully borrow from it.
","August 30, 2017",MtnBabe,"
I like the previous version of OverDrive - this new and ...
"
151,"
I didn’t realize an online book would have a wait list
","April 5, 2019",PrissyMissy,"
Did not work for me
"
152,"
I like the previous version of OverDrive - this new and improved version SUCKS......I still use it but not as seriouslyor nearly as much as I did before the change - conversion is not always the best.....before it has me at 5 stars - BUT3 stars is being generous.....
","February 8, 2017",Soloxxab,"
Its great if you don't loose library card
"
153,"
Really cannot rate this, it did not work for me but maybe it will for you.
","February 5, 2019",Kindle Customer,"
I use a Kindle Fire, but the app does ...
"
154,"
Does not keep my library card info on file in account. Now I really have to go get my library card. Ugh!
","January 1, 2020",Jaymarsh,Does not work on Kindle fire
155,"
I use a Kindle Fire, but the app does not work on a Kindle, as I found out after downloading and installing it. Silly me for assuming that, on an Amazon store using an Amazon device, there might be some kind of notification that this is incompatible.
","December 1, 2014",RaleighMom,Libby by Overdrive is a necessary app on Amazon Fire Tablets
156,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
books from kindle do not always download
"
157,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Used to love this App, don't anymore.
"
158,"
half the time , you will see book is available but when you go to get . it says get book from kindle, when you click link it registers that it will download. it shows up in kindle  but never downloads.
","February 6, 2020",Amazon Customer,"
Complex
"
159,"
I used to love the app but it has degraded in quality. Whenever I try to look for an author or a title it says that they don't have it even though I already have that author or title checked out. Like now I have books by Janet Chapman checked out but every time I look for more of her books the App says they don't have any of her books at all.  I need to talk to the App developer.
","March 29, 2015",elizabeth johnson,"
A passing necessity
"
160,"
Wasn’t able to use it. Too many steps for borrowers and not sure if the material is available for use.
","March 3, 2019",Daniel O. Obiero,"
Very difficult to use!!
"
161,"
My local library's digital lending program is powered through Overdrive so I have to use it. It has improved a bit over the last couple of years, but could still definitely use a more user friendly interface (it's often difficult to get to do what I want, or to find what I want). Will continue to use it since I have to, but I would probably use something else if given the choice.
","May 14, 2015",Leah Murphy,"
OverDrive: Driving your patience Over the edge.
"
162,"
Difficult to use. I don't understand why it offers link to my Amazon account then it tells me the price. Why do I go to library if I want to buy a book? I could go directly to Amazon to do that. I still have not figured how to download to read ebook!!
","May 6, 2017",Vicky Young,"
I downloaded this because it is app our public library ...
"
163,"
I used this App for my Mom, however due to her bad eyesight I combined this with the kindle fire, in order to allow her to access audiobooks for her entertainment. However, the User Interface for this App is atrocious at best. Not only is the selection of available audiobooks quite small, but the filtering options will remove your preferences for products each time. So, searching for audiobooks, the two of us would see a title pop up in the search results or in the genre sections that was unavailable as an audiobook, despite being set to only show audio options.While the book selection is moderate, as might be expected, every other aspect of this Library App was found lacking. Until the filtering options stop showing items outside of my search parameters, this App is being generously given a single star.
","November 3, 2015",chris black,"
liked the old version
"
164,"
I downloaded this because it is app our public library uses for checking out e-books. It is hardly intuitive, and in general can be a royal pain to navigate--it is slow and will take you back to the same (wrong) places half of the tine. And that is when it is working at all. However, I can't tell if it is the fault of the app or the library website, so I was more generous in my rating than I really feel.
","February 16, 2016",EMW,"
Outdated App
"
165,"
Extremely difficult to use.. liked the old version. Better. You are trying to do too much with the site. We just want to read or listen to BOOKS!
","March 16, 2016",Diane,"
Forces me to read books in my Silk browser.
"
166,"
The library I work for had Overdrive which was updates to 'Libby'. I couldn't do anything with this app. Needs updated. Libby is a fantastic site.
","September 1, 2018",Amazon Customer,Does not work on Kindle fire
167,"
Nothing but problems with my Kindle Fire HD7.  I'm forced to read books in my Silk Browser, which is totally annoyed and having to go to Overdrive, then open my library then double-click on my checked out book and then go back to the last bookmark, when never seems to be the spot I left off the night before.I tried to purchase the book on Amazon (the full text version of Colleen McCullough's The First Man of Rome about the beginning of the end of the Roman Republic--historical fiction) and couldn't find an unabridged edition, so I checked out from the library.  It's almost as long as War and Peace and thanks to problems with the app, I probably won't be able to finish the book on time and will have to check it out again later.I will say that the Customer Service was great at finding a way to access this book, via the browser, since at first, Overdrive wouldn't even recognize the book, so kudos to them, but it's been more than just a little hassle.
","April 12, 2016",R.L. Stroud,Libby by Overdrive is a necessary app on Amazon Fire Tablets
168,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
I was so disappointed with the Overdrive app that I gave the Kindle ...
"
169,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Difficult to setup.
"
170,"
I was so disappointed with the Overdrive app that I gave the Kindle Fire to my young grandson for his birthday.  I downloaded the books from our public library,they showed on the HOME page as downloaded but could never be opened.  My grandson will use it to read and play games
","August 7, 2017",Amazon Customer,"
Doesn't work
"
171,"
Had a very difficult time getting it downloaded and setup on my Kindle.  It's still not working correctly.
","June 14, 2019",Mary U.,"
get Libby instead
"
172,"
Couldn't use it. It got stuck asking me to verify over and over again. After verifying five times, I gave up.
","November 19, 2016",Capt. Jack,"
Poorest app I have ever used.
"
173,"
This has an outdated UI and is litchy
","September 29, 2019",C. W.,"
One Star
"
174,"
The app does not work. It downloads books that are not available to loan. It then tells you no more books are available. This app is very difficult to navigate and has no results. No books to read. Very frustrating.
","May 5, 2017",Annie559,"
This app WOULD be great if it wasn't so complicated to use
"
175,"
Not worth the time it took to download.
","August 23, 2017",Lamont,"
Great concept, too much skipping
"
176,"
This app WOULD be great if it wasn't so complicated to use. It also isn't downloading my books currently when I try to download a book I placed on hold, and was notified that it was available to me now. This app is aggravating because it is slow and the layout is way too complicated. Too many pointless tabs and it's hard to find what you are looking for when you try to sign in or try to download a book you had on hold.
","January 31, 2016",Kimberly,"
Amazon needs to consider using Libby app instead of OverDrive
"
177,"
Love getting free books from my library, especially the audio books but this ap OFTEN jumps around or restarts from the beginning which is really annoying and makes it really hard for me to have my younger children use it. My 8-12 year olds and I are constany listening  to or reading digital books on this none the less.
","November 24, 2015",Amazon junky mama to six,"
Fix the app
"
178,"
OverDrive is an app you can use to access and checkout local books from the library.  OverDrive also has an app called Libby you can use, Libby is so much more user friendly and you can read straight off the app with narrations on some books.  I am able to use Libby on my Apple and Android products, but for some reason, Amazon does not offer it on the Kindle platforms.  Overdrive is so much more difficult to use and to be able to access the books, you have to be able to access the internet.  When I enable Overdrive on Freetime, my kids still have trouble accessing their library books on this app because of the internet use.  It is highly frustrating.  My kids can use the Libby app with no problem.  You do have the option to download as Kindle books which is great for my older child who reads, but my younger child who likes to sit and have the tablet read to him as it highlights his words to learn to read better cannot access the books that way and most of his books are not available on Kindle version
","June 17, 2018",JMom,Does not work on Kindle fire
179,"
I could get a book on both my android and iPad.  Changes made that not possible now. I agree with Jen A. What did you do??? Please fix!
","November 12, 2016",Debie H,Libby by Overdrive is a necessary app on Amazon Fire Tablets
180,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Can’t use it.
"
181,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Incompatibility
"
182,"
It’s definitely not Libby... I can’t sync my downloads or history. I also can’t add another Library card.
","April 2, 2019",C. Franklin,"
Crashing app drives reader crazy
"
183,"
I was hoping to use to connect my Kindle to a local library, but it didn't work. I guess not compatible:(
","December 14, 2018",Shirley,"
Difficult to navigate
"
184,"
This could be a great app to read books rented from the public library but Overdrive for Kindle Fire keeps crashing after a title has been opened. When the app is closed and reopened, all the reader sees is a black screen. The troubleshooting website for Overdrive suggests uninstalling and reinstalling the app. It didn't work. The only thing that works is to restart the device. Very frustrating.
","December 31, 2015",Amazon Customer,"
Great way to borrow ebooks from the library
"
185,"
My library recommended a different app, which I was unable to download to my Kindle (which is about 7 years old). I downloaded this app, and found it very difficult to navigate. Every time I searched for and downloaded a book, I felt as though I had done it by accident.  When books for which I was waitlisted became available, I was not able to download and read them. Although I have not changed my password, overdrive keeps telling me that I am submitting an incorrect password.  It is so frustrating, that I have given up on using it at all.
","October 8, 2018",RES,"
Not great
"
186,"
Great way to borrow ebooks from the library. Can be kind of tricky to get the books downloaded to your device, but the have tech support to help walk you through it.
","April 30, 2017",Kathlen,"
Needed More Help
"
187,"
I couldn't get the books to open on my kindle.
","November 9, 2018",Lori A. Walker,"
How to use it
"
188,"
I had trouble following the guide and had to enter and reenter info. I didn't get the first book downloaded in 2 days and lost it. I worked for an hour to get my next book downloaded.  I don't even know what I was doing wrong but now I can finally  down load my selections. I was touching the right side of the screen to turn pages and often 2 pages would turn at one time. I discovered that I needed to swipe not touch the screen.
","August 3, 2014",Joyce M Johnson,"
Perplex
"
189,"
Overdrive USED to work like a charm on my Kindle Fire!  NOW I have to use “Libby” which I have been unable to load.Please tell me which platform Amazon supports-Apple, Google or Microsoft.
","November 17, 2018",PWC Library Patron,"
Don't waste your time on this
"
190,"
Very confusing for me to use.
","May 15, 2019",Janet L. Brumfield,Does not work on Kindle fire
191,"
Difficult to use at times.Have reserved books on hold, notified that they were available, then couldn't download.When tried to download, was told that other user had it on hold.Have pretty much given up trying to use e-books through this service, from the library.Have wasted enough time trying to get this to work...
","July 26, 2015",Reality Wins,Libby by Overdrive is a necessary app on Amazon Fire Tablets
192,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Needs much improvement.  Difficult to use.
"
193,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
can't seem to use it-- can't figure out how
"
194,"
In my opinion the OverDrive app needs much improvement in the area of being easy to use.  I am usually frustrated when I'm using it.  It is not clear how to do what you want to do when you're using it:  choosing, borrowing, and downloading ebooks and eaudiobooks.
","January 15, 2017",Nancy B.,"
Hard to set up
"
195,"
I even had a man at the library help me set it up and I still cannot use it!
","April 21, 2019",Amazon Customer,"
Ugh
"
196,"
Was very hard to set up still cant get on
","October 10, 2019",margaret,"
Confusing to use
"
197,"
The idea behind this app is wonderful. I love being able to check out ebooks from my library. It's so convenient. However, this app is really no good. It's always been very slow and bulky-seeming, but recently, it's kicked me out of both of my libraries, saying I have unnamed holds when I certainly have no holds at all. It is disappointing and I wish the app would be fixed to be quicker and more reliable.
","September 7, 2014",Sydnee Krenek,"
version 2.6.5 still has the truncate problem
"
198,"
I struggled to get on and fine the books that I wanted.
","May 13, 2019",sgreenfield,"
Can;t open it
"
199,"
I have version 2.6.5 on a Kindle Fire 1st edition and Richard Kadrey's ""Aloha From Hell"" will not progress beyond page 75; that's less than 1/3 of the book. Very disappointing, especially since the release notes say that 2.6.5 fixes this very problem.UPDATE Kadrey's books don't have chapters, the body is one long piece. I used the table of contents to jump to the ""also by this author"" at the end; then I could page backwards to the spot I wanted, and continue reading from there. Ugly, but at least I can finish the book.
","May 31, 2013",Steven Spicer,"
A little confusing
"
200,"
Downloaded it on both my kindles & said it is not safe to open wanted to download books from my local library.
","January 15, 2019",Shirley Holcomb,"
Free books
"
201,"
I am sure it is very good but, not for me I am not the best with things like this.  I was a little confused.  I still have not figured it out.  I gave it 3 stars
","November 5, 2018",cherlyn60,"
The search software is fine, but my local library has so few books ...
"
202,"
The selection is not that great. Lots of romance and steamy highlands stuff. Old sci-fi stories I read long ago.But it’s free books.  So....
","July 25, 2018",Kindle Customer,Does not work on Kindle fire
203,"
The search software is fine, but my local library has so few books available in Overdrive it's not worth any of my time to even look at it.After a second look, the login page on my Kindle Fire is not very workable. The Kindle keyboard takes up half the page. The overdrive page behind it doesn't scroll or resize. I haven't been able to login yet.
","March 19, 2015",T. Fischer,Libby by Overdrive is a necessary app on Amazon Fire Tablets
204,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Worst app ever
"
205,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Good but not the best app available for e library books
"
206,"
Did not worked or load when I clip on.
","September 5, 2019",Tam,"
If you have Freetime on your kids kindle, then forget it. This does NOT work well with that
"
207,"
While it's great to be able to get library books on my kindle fire, the Libby app is much better. I wish it was compatible with Kindle fire without doing a work around.
","April 11, 2018",Sara L. Steinmetz,"
No Go with the ""O""
"
208,"
If you have Freetime on your kids kindle, then forget it. This does NOT work well with that! What a nightmare it is to get it to work with Kindle Freetime. Not worth all the hassle. You basically have to give your kid access to your Amazon account in order to get books and that's just a really bad design and something Im not willing to do. Bad design, dysfunctional.
","January 4, 2019",john merritt,"
Overdrive
"
209,"
I've never been able to get this to work on my computer.  The people at the library have also been stumped as to why it doesn't allow me to get anything.  After two lengthy attempts at using, I gave up and returned to traditional methods.  However, I've now gotten Hoopla which was a breeze to install and instantly was rewarded with great book choices and more.
","August 4, 2014",pitbullpatti,"
Audiobooks not so great.
"
210,"
I have been using this app for a few years now.  I like that I can download directly to my phone now with it and that it even works over the cell networks.  What I don't like is that the app audiobooks do not work well with my car's bluetooth in that if I forget to bookmark my place and get back in the car to listen it will skip backwards to some random point and then it takes a while to find my place again.  It also was skipping back to the beginning of the book when I was reading an Adobe epub book everytime my screen rotated.  I fixed that by changing the settings so it wouldn't rotate, but there are definitely a few annoying bugs with this app.
","July 22, 2013",Melis83182,"
seem's to be  ok but would not work for me
"
211,"
Book downloads are great. They sync between devices, remember where you left off.Audio books kind of suck. They don't remember your place when you turn off, and the chapter organization into parts makes it hard to find your place again. Also, its hard to sync audio books between devices.
","October 31, 2015",Amazon Customer,"
Doesn't work!
"
212,"
would not work for me with my library card and library
","February 22, 2019",dnl,"
Like being stuck in a bad marriage
"
213,"
I  had to uninstall it because it does not work properly. it does not allow me to add my library card, it takes been too long loaded.
","May 13, 2017",Andrea Torres,"
One Star
"
214,"
Both my wife and I dislike many aspects of the program -- this version is less  user-friendly IMHO than the previous one, hard to get to ""subjects"" or to filter out audiobooks (which we don't use or want), whoever manages the program seems to think I want to read YA, paranormal romance, or just don't care about genre.  Sometimes it leaps ahead before you can stop it, other times it lags and lags, slow, slow server also.  I wish they would rewrite the program for better ease of use and speed up their server.  Lacks any good, quick overview or FAQs.  However it's the only way to tap Oregon library assets online....
","May 31, 2017",Dehypnotist,Does not work on Kindle fire
215,"
MY TABLET WOS SO SLOW IF I USED IT
","February 14, 2018",Victor E. Rivas,Libby by Overdrive is a necessary app on Amazon Fire Tablets
216,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Very difficult to maneuver. Try to make a genre ...
"
217,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
It was difficult.
"
218,"
Very difficult to maneuver.  Try to make a genre selection and difficult because it keeps jumping off on its own.  Difficult to sign in, keeps asking for what library.  After finally able to sign in, keeps going back to requesting sign in.
","January 27, 2017",Pat,"
Unusable Version
"
219,"
I was unable to traverse the site get to the section I was interested in.
","June 17, 2019",Anna Claxton,"
Painfully Slow! Horrible on my New Fire.
"
220,"
My first attempt at using the new version today.  Totally unusable on my Kindle Fire.  I have used this app daily for over a year with no problems til the upgrade.  Even using the browser as suggested in some one else's review it is slow and extremely frustrating.  However, the browser version does have the advanced search I loved using.  Please bring back an option to use the old version.
","November 11, 2016",Kris A Godden,"
OK, lots of choices but not any I've really been searching for - end up going to the Library or our Senior Center
"
221,"
This app is unbelievably slow on my new Fire! I would delete it if I knew of another app for downloading books from the public library!
","April 13, 2019",Valley Mom,"
No progress bar to see where you are with relation ...
"
222,"
easy to access however has its drawbacks. can't access books by author or at least we didn't see that category.gets monotonous going thru pages and pages of books I don't even want to see much less have them come up when I try for a specific type of novel (eg: fiction/military by WEB Griffin)- end up going to the Library or our Senior Center to find what I want in paperback form.
","December 3, 2013",DaveM,"
Over head or kindle fire to blame?
"
223,"
No progress bar to see where you are with relation to finishing the book.  The menus are hidden.  Set-up was extremely difficult.
","November 15, 2016",Alan Taub,"
Works good on audio books from certain libraries
"
224,"
I'm new to kindle loaded my first book from the library and to say the least my kindle Was freezing up or reloading??? I researched on my iPad to do a hard close. It worked however I also learned this freezing is a very common problem with kindle fire . I don't want to put much effort into personalizing this kindle, I think I got a lemon.
","August 31, 2015",Ms Hollywood,"
Lame app
"
225,"
It works alright on my Kindle, especially on Audio Books I listen to on trips. If I had written this review a few months ago I would have given them more stars...but I dealt with their customer service. It may not be their fault and the library's fault. But both are blaming the other and in the meantime I can't use it.
","October 12, 2014",cautionflag,"
Fair
"
226,"
Lame sauce
","October 7, 2019",Nathan Chavarria,Does not work on Kindle fire
227,"
Didnt sync to my library
","September 17, 2019",Amazon Customer,Libby by Overdrive is a necessary app on Amazon Fire Tablets
228,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Could be better
"
229,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Works much better going to the website by computer which is a ...
"
230,"
I wish I could use this to check out the books that have come in off my wait list. For some reason I can only do that from my desktop computer. There is no selection for eholds. It's great for getting available books or putting a hold on a book. I've used the search option as well. I enjoy the program for getting my library books I just wish I could get my eholds out with it as well
","January 22, 2013",SassyMom,"
I do not like that when you put books on hold that all ...
"
231,"
Much harder to use than the older version of the app. Harder to find books and separate one type book (Ebook vs Kindle) from the other. Not a fan but it is functional. Works much better going to the website by computer which is a shame.
","January 26, 2017",KP,"
Love the idea of the app.
"
232,"
I do not like that when you put books on hold that all of those usually are automatically checked out to you at the same time then you must come to Amazon to remove those and the device reads see library too many books checked out. It is a hassle and also most of the kindle books available are old. It takes forever to get a new release.
","March 24, 2015",Marina W Coffey,"
The app works fine but I can only give three stars because my ...
"
233,"
The idea of this app is great. It's not for me because it's too hard and Tim consuming to get a book. I hate signing into my account every time I want to order. It has too many steps. I'll pay for a book if it has only 1 or 2 steps. To me free is not always worth my time.
","March 25, 2015",Dawn Roland,"
kind of funky to use
"
234,"
The app works fine but I can only give three stars because my library has so few e-books authorized. Getting anything recent means putting myself on a long waiting list for the digital copy. Easier to just just go to the library and get the actual book. Library is Fairfax County Regional in Northern Virginia, your results may differ. Fairfax is a big system but with lots of customers. The app installed fine and was pretty straightforward.
","January 24, 2016",William P. Holland,"
No
"
235,"
I liked it better when they were just kindle books. The app is kind of funky to use and find books.
","June 19, 2017",Dr. W. C. Wiseley,"
Meh
"
236,"
Dont use ot
","October 19, 2019",paul voss,"
Not nearly as good as Kindle reader app!
"
237,"
It works, but is not very user friendly.  I kept getting kicked back to my libraries login page, and having to re-login each time I tried to locate my checked out books.
","January 20, 2017",Jim,"
I guess it works
"
238,"
I installed this only because a book I wanted to check out from the public library was only available in ePUB or PDF. This app isn't nearly as user friendly as the default reader in the Kindle Fire. There's no way to make notes or highlight, bookmarks are awkward to set and when you tap on one to go to the bookmarked location, you can end up somewhere else! We've lost a couple of chapters because of this glitch. When going back into the story, it opens one page before or one page after, depending on the orientation it was when you closed the app and opened it up again. If you open the book in the same orientation, then you're on the right page.When setting options, after setting one, the menu closes and you have to open the menu again to set the next one. You should be able to set all the options and then tap ""Done"" to exit the menu.Brightness is supposed to be able to use the default device brightness but it doesn't. It always brighter than what I have set the Kindle Fire for. Not good in a dim ambient light situation!I do like the little window that pops up when you tap in the center of the screen which tells you which chapter you're in and how many pages you've read of the chapter. Big whoop with all the other problems we've had!I'm going to try very hard to not borrow an ePUB book again, once I finish this one. Reading a Kindle book is so much easier!
","June 21, 2013",Sherry H,Does not work on Kindle fire
239,"
While it would find and show the books from my local public library, I never could get it ""authenticate"" the loan's free download from Amazon. It always showed the book for purchase, not borrow. I could get this function to work on my desktop--just not on my Kindle. However, from the desktop, I could get it to load to the Kindle--it was just one extra step and a minor inconvenience.
","January 29, 2013",John Miller,Libby by Overdrive is a necessary app on Amazon Fire Tablets
240,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
Version No Longer Usable
"
241,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
Good
"
242,"
The current version is no longer usable by the original Fire Tablet. I realize at this point, by tech standards, this is an old device, but the overdrive website clearly advertises that the Kindle Fire tablet is supported on the app.Please please please upload a version usable by original fire users or update your advertising.
","May 30, 2017",A. B.,"
Failure
"
243,"
Good
","April 28, 2019",Engelbert Lazala,"
A bit confusing
"
244,"
Overdrive never loaded onto my Kindle. Unable to access the book I wanted.
","October 26, 2018",patty,"
Ok
"
245,"
Had no idea what this was when I decided to go digital at my public library system. Had to actually go into the library to get someone to walk me through how to do whatever you have to do to get it downloaded & on my Kindle. Still waiting for a book that I had to put on hold. Have yet to find out when it will be available or even if that information exists somewhere. I expect an email, I guess at some point to let me know something. Might have been easier just to buy the book.  Confused & waiting to see how it eventually works out.
","August 19, 2013",T. C. Kemp,"
I like what is supposed to do however it rarely does ...
"
246,"
Ok
","September 14, 2019",Shannon T.,"
I’m still unsure
"
247,"
I like what is supposed to do however it rarely does it. I'm not sure if it is overdrive's failure or kindle fire's failure but it's really frustrating...
","July 7, 2018",Linda L. Flores Leon,"
Super crappy - couldn't use it
"
248,"
I just don’t know
","September 13, 2019",🌷Tried~n~True🌷,"
Not what I needed,
"
249,"
never worked out for us. We'll just stick to books.
","January 27, 2019",Betsy D,"
I wished this worked better for me however
"
250,"
It did not work with my kindle and my library. I could see what the library had but could not download any books or audio except for the short samples offered.
","December 5, 2017",S. Harper,Does not work on Kindle fire
251,"
very hard to request any books I wanted and hard to navigate and log in.  I wished this worked better for me however. the basis of the overdrive theory and what it is supposed to do is a great idea overall.
","January 27, 2016",spadula68,Libby by Overdrive is a necessary app on Amazon Fire Tablets
252,I spoke too soon. I was able to read one book on my Kindle through this app. Now when I try to sign in on the Kindle it won't even go to the search page. There is no way for me to locate books or even get to that page. No answer in their help section and no one to talk to about it. I am able to access on my phone. I assume it's the Kindle. Very frustrating that the library app does not support an older Kindle since a lot of people using the library may not be able to afford the latest technology.,"September 8, 2018",Brenda J Welsh,"
I like that I can get library booksbut it is so ...
"
253,"I have used Overdrive on my Android devices for years and have loved it. Switched to Libby by Overdrive because it was much more user friendly. I bought an Amazon Fire 7 for my senior citizen mother so she can use Libby only to find out that Libby's not available and Overdrive is much less user friendly on Amazon's platform. I installed the app, downloaded the books I wanted a few days ago and now they are inaccessible. What I  earth happened? Amazon, you really need the Libby platform. It's too popular not to have. It is user friendly for special needs and older and younger generation of people.","December 6, 2019",Deborah England,"
and I love that it allows me to get access to books ...
"
254,"
I like that I can get library booksbut it is so very hard to use. I have it on my Kindle and can't get the bookshelf to open, every time I get a book it takes me to Amazon and I have to go thru the purchase process even though it does not cost.  Very time consuming and bulky and not user friendly with my Kindle.
","August 16, 2015",Kindle me now,"
I don't like it for the kindle
"
